Epoch,Lr,TrLoss,TrAcc,TrRecall,TrROC,ValLoss,ValAcc,ValRecall,ValRoc
1,0.00334,1.6451106388357621,0.4551028609275818,0.4551028609275818,0.44194868206977844,1.3184146881103516,0.6890624761581421,0.6890624761581421,0.3968101441860199
2,0.006670000000000001,1.527243530448479,0.6619857549667358,0.6619857549667358,0.45260635018348694,1.171572234481573,0.6890624761581421,0.6890624761581421,0.5548921823501587
3,0.01,1.2673567684390876,0.668710470199585,0.668710470199585,0.4900609850883484,1.1051122844219208,0.6890624761581421,0.6890624761581421,0.601777970790863
4,0.01,1.2123873573315294,0.6673259735107422,0.6673259735107422,0.5278187990188599,1.0612784661352634,0.6890624761581421,0.6890624761581421,0.6001078486442566
5,0.01,1.1995470282397693,0.6651503443717957,0.6651503443717957,0.5659377574920654,1.0849435701966286,0.6890624761581421,0.6890624761581421,0.6017426252365112
6,0.01,1.1705726671822463,0.6675237417221069,0.6675237417221069,0.585891604423523,1.0547491125762463,0.6890624761581421,0.6890624761581421,0.6051548719406128
7,0.01,1.1489715455453606,0.6720728278160095,0.6720728278160095,0.5894256830215454,1.0359830297529697,0.7113281488418579,0.7113281488418579,0.6267063021659851
8,0.01,1.169127639335922,0.6663370132446289,0.6663370132446289,0.5694190263748169,1.020410269498825,0.6890624761581421,0.6890624761581421,0.6260052919387817
9,0.01,1.1715862320948252,0.6649525761604309,0.6649525761604309,0.5755912661552429,1.1018849648535252,0.6890624761581421,0.6890624761581421,0.6205644607543945
10,0.01,1.156888730918305,0.6683148741722107,0.6683148741722107,0.6055178046226501,1.0127823948860168,0.6890624761581421,0.6890624761581421,0.6435493230819702
11,0.01,1.116093466553507,0.6728639602661133,0.6728639602661133,0.6296545267105103,0.9977586902678013,0.6968749761581421,0.6968749761581421,0.652886688709259
12,0.01,1.1076037574417983,0.6732594966888428,0.6732594966888428,0.6167635321617126,1.0328569449484348,0.6742187738418579,0.6742187738418579,0.6414247155189514
13,0.01,1.0999735963495472,0.6748417615890503,0.6748417615890503,0.6441283822059631,0.9797342903912067,0.7017577886581421,0.7017577886581421,0.6569779515266418
14,0.01,1.0816239103486267,0.683742105960846,0.683742105960846,0.6451863050460815,0.968212503939867,0.7193359136581421,0.7193359136581421,0.6574183702468872
15,0.01,1.0871226470681685,0.6799842119216919,0.6799842119216919,0.6624228358268738,1.0132698342204094,0.705273449420929,0.705273449420929,0.6571940183639526
16,0.01,1.0623533295679697,0.6867088675498962,0.6867088675498962,0.667656421661377,0.9715926498174667,0.712695300579071,0.712695300579071,0.6681377291679382
17,0.01,1.0625227267229105,0.6819620132446289,0.6819620132446289,0.6714316010475159,1.171620711684227,0.6949218511581421,0.6949218511581421,0.6275507807731628
18,0.01,1.0606904203378702,0.6839398741722107,0.6839398741722107,0.6751090884208679,0.9635405279695988,0.7115234136581421,0.7115234136581421,0.661217987537384
19,0.01,1.0674120429195935,0.6823576092720032,0.6823576092720032,0.6621333956718445,0.9966466426849365,0.715624988079071,0.715624988079071,0.6644428968429565
20,0.01,1.0734556430502782,0.6793908476829529,0.6793908476829529,0.660296618938446,0.9846783392131329,0.6898437738418579,0.6898437738418579,0.6675621271133423
21,0.01,1.0397923422765127,0.6857199668884277,0.6857199668884277,0.671236515045166,1.053106427192688,0.703320324420929,0.703320324420929,0.6442375779151917
22,0.01,1.0568713281728044,0.6807753443717957,0.6807753443717957,0.6888384222984314,0.9572540111839771,0.7232421636581421,0.7232421636581421,0.6641103625297546
23,0.01,1.0520214747778978,0.6774129867553711,0.6774129867553711,0.6756289005279541,0.9702873043715954,0.720703125,0.720703125,0.6673587560653687
24,0.01,1.045939802368985,0.6787974834442139,0.6787974834442139,0.684505045413971,1.04187635704875,0.7095702886581421,0.7095702886581421,0.6646352410316467
25,0.01,1.0535166308849673,0.6823576092720032,0.6823576092720032,0.6648626327514648,0.9538487605750561,0.7222656011581421,0.7222656011581421,0.6726332902908325
26,0.01,1.0458136298988439,0.683742105960846,0.683742105960846,0.6876238584518433,1.0045871436595917,0.718945324420929,0.718945324420929,0.6647832989692688
27,0.01,1.0397545627400846,0.6865110993385315,0.6865110993385315,0.6963769793510437,0.9955813251435757,0.730664074420929,0.730664074420929,0.663846492767334
